�tem,Norte,Este,Muestra,De,Hasta,potencia,Vs (m/s),Vp (m/s),Nspt,(N1)60,SUCS,LL %,LP,IP %,W%,� �,C (Kg/cm2),? h�meda (gr/cm3),? seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),Colapso,Gravas,Arenas,Finos,tipo_ensayo,profundidad_media
MW-1,,,M-1,0.0,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-2,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-3,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-4,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-5,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-6,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-7,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-8,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-9,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-10,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-11,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-12,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-13,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-14,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-15,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-1,0.0,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-2,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-3,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-4,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-5,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-6,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-7,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-8,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-9,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-10,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-11,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-12,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-13,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-14,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-15,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
